"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה     CFU/100 ml,שם נקודה,אתר,,
NS00001971,2022-08-15 17:37:25,E.coli MUG,220,חצבני גשר רומי,חצבני,,
NS00001971,2022-08-15 17:37:25,קוליפורם צואתי,510,חצבני גשר רומי,חצבני,,
NS00001971,2022-08-29 12:58:10,E.coli MUG,1450,חצבני גשר רומי,חצבני,,
NS00001971,2022-08-29 12:58:10,קוליפורם צואתי,1450,חצבני גשר רומי,חצבני,,
NS00001971,2022-09-05 14:26:19,E.coli MUG,1400,חצבני גשר רומי,חצבני,,
NS00001971,2022-09-05 14:26:19,קוליפורם צואתי,1400,חצבני גשר רומי,חצבני,,
NS00001971,2022-09-19 12:22:11,E.coli MUG,200,חצבני גשר רומי,חצבני,,
NS00001971,2022-09-19 12:22:11,קוליפורם צואתי,660,חצבני גשר רומי,חצבני,,
NS00001971,2022-10-02 13:26:47,E.coli MUG,180,חצבני גשר רומי,חצבני,,
NS00001971,2022-10-02 13:26:47,קוליפורם צואתי,500,חצבני גשר רומי,חצבני,,
NS00001971,2022-10-18 13:05:27,E.coli MUG,900,חצבני גשר רומי,חצבני,,
NS00001971,2022-10-18 13:05:27,קוליפורם צואתי,900,חצבני גשר רומי,חצבני,,
NS00001971,2022-10-24 00:00:00,E.coli MUG,140,חצבני גשר רומי,חצבני,,
NS00001971,2022-10-24 00:00:00,קוליפורם צואתי,210,חצבני גשר רומי,חצבני,,
NS00001971,2022-10-30 14:27:18,E.coli MUG,20,חצבני גשר רומי,חצבני,,
NS00001971,2022-10-30 14:27:18,קוליפורם צואתי,680,חצבני גשר רומי,חצבני,,
NS00001971,2022-11-21 15:48:05,E.coli MUG,220,חצבני גשר רומי,חצבני,,
NS00001971,2022-11-21 15:48:05,קוליפורם צואתי,230,חצבני גשר רומי,חצבני,,
NS00001971,2022-12-18 13:53:50,E.coli MUG,150,חצבני גשר רומי,חצבני,,
NS00001971,2022-12-18 13:53:50,קוליפורם צואתי,340,חצבני גשר רומי,חצבני,,
NS00001972,2022-03-29 13:56:09,E.coli MUG,1300,חצבאני אחרי תחנה הידרואלקטרית,חצבני,,
