,,,"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה        CFU/100 ml,שם נקודה,אתר
NS00000730,2026-05-25 14:06:21,E.coli MUG,2,כזיב בריכת הדלבים,כזיב
NS00000730,2026-05-25 14:06:21,קוליפורם צואתי,2,כזיב בריכת הדלבים,כזיב
NS00000730,2026-06-14 14:53:13,E.coli MUG,180,כזיב בריכת הדלבים,כזיב
NS00000730,2026-06-14 14:53:13,קוליפורם צואתי,200,כזיב בריכת הדלבים,כזיב
NS00000730,2026-06-22 13:30:36,E.coli MUG,20,כזיב בריכת הדלבים,כזיב
NS00000730,2026-06-22 13:30:36,קוליפורם צואתי,90,כזיב בריכת הדלבים,כזיב
NS00000731,2026-04-26 13:51:20,E.coli MUG,10,כזיב בריכת עין טמיר,כזיב
NS00000731,2026-04-26 13:51:20,קוליפורם צואתי,30,כזיב בריכת עין טמיר,כזיב
NS00000731,2026-05-12 13:35:19,E.coli MUG,10,כזיב בריכת עין טמיר,כזיב
NS00000731,2026-05-12 13:35:19,קוליפורם צואתי,10,כזיב בריכת עין טמיר,כזיב
NS00000731,2026-05-25 14:06:21,E.coli MUG,40,כזיב בריכת עין טמיר,כזיב
NS00000731,2026-05-25 14:06:21,קוליפורם צואתי,60,כזיב בריכת עין טמיר,כזיב
NS00000731,2026-06-14 14:53:13,E.coli MUG,50,כזיב בריכת עין טמיר,כזיב
NS00000731,2026-06-14 14:53:13,קוליפורם צואתי,50,כזיב בריכת עין טמיר,כזיב
NS00000731,2026-06-22 13:30:36,E.coli MUG,60,כזיב בריכת עין טמיר,כזיב
NS00000731,2026-06-22 13:30:36,קוליפורם צואתי,90,כזיב בריכת עין טמיר,כזיב
NS00000731,2026-06-22 13:30:36,קוליפורם צואתי ממוצע,90,כזיב בריכת עין טמיר,כזיב
NS00002002,2026-04-26 13:51:20,E.coli MUG,50,כזיב עין זיו,כזיב
NS00002002,2026-04-26 13:51:20,קוליפורם צואתי,60,כזיב עין זיו,כזיב
NS00002002,2026-05-12 13:35:19,E.coli MUG,10,כזיב עין זיו,כזיב
NS00002002,2026-05-12 13:35:19,קוליפורם צואתי,10,כזיב עין זיו,כזיב
NS00002002,2026-05-25 14:06:21,E.coli MUG,20,כזיב עין זיו,כזיב
NS00002002,2026-05-25 14:06:21,קוליפורם צואתי,20,כזיב עין זיו,כזיב
NS00002002,2026-06-14 14:53:13,E.coli MUG,30,כזיב עין זיו,כזיב
NS00002002,2026-06-14 14:53:13,קוליפורם צואתי,30,כזיב עין זיו,כזיב
NS00002002,2026-06-22 13:30:36,E.coli MUG,20,כזיב עין זיו,כזיב
NS00002002,2026-06-22 13:30:36,קוליפורם צואתי,20,כזיב עין זיו,כזיב
NS00002003,2026-04-26 13:51:20,E.coli MUG,130,כזיב חרדלית,כזיב
NS00002003,2026-04-26 13:51:20,קוליפורם צואתי,210,כזיב חרדלית,כזיב
NS00002003,2026-05-12 13:35:19,E.coli MUG,90,כזיב חרדלית,כזיב
NS00002003,2026-05-12 13:35:19,קוליפורם צואתי,140,כזיב חרדלית,כזיב
NS00002003,2026-05-25 14:06:21,E.coli MUG,110,כזיב חרדלית,כזיב
NS00002003,2026-05-25 14:06:21,קוליפורם צואתי,270,כזיב חרדלית,כזיב
NS00002003,2026-06-14 14:53:13,E.coli MUG,2100,כזיב חרדלית,כזיב
NS00002003,2026-06-14 14:53:13,קוליפורם צואתי,2100,כזיב חרדלית,כזיב
NS00002003,2026-06-22 13:30:36,E.coli MUG,340,כזיב חרדלית,כזיב
